day,id,reason
5158,1059,dehydration
5158,3263,dehydration
5159,169,dehydration
5159,777,dehydration
5159,3180,dehydration
5159,3182,dehydration
5160,786,dehydration
5160,2044,dehydration
5161,623,dehydration
5161,1173,dehydration
5161,2569,dehydration
5162,91,dehydration
5162,142,dehydration
5162,223,dehydration
5162,502,dehydration
5162,568,dehydration
5162,870,dehydration
5162,932,dehydration
5162,2659,dehydration
5162,3034,dehydration
5162,3520,dehydration
5163,387,dehydration
5163,620,starvation
5163,1318,dehydration
5164,298,dehydration
5164,654,dehydration
5164,1180,dehydration
5164,2068,dehydration
5165,66,dehydration
5166,1602,dehydration
5167,165,dehydration
5167,2849,dehydration
5168,273,dehydration
5168,457,dehydration
5168,576,dehydration
5169,73,dehydration
5169,122,dehydration
5169,660,dehydration
5169,1900,dehydration
5170,432,dehydration
5170,509,dehydration
5170,959,dehydration
5170,1112,dehydration
5170,1805,dehydration
5170,2324,starvation
5171,2319,dehydration
5173,673,dehydration
5174,7,dehydration
5174,826,dehydration
5174,1445,dehydration
5174,1866,dehydration
5175,362,dehydration
5175,716,dehydration
5175,851,dehydration
5175,2442,dehydration
5176,4209,dehydration
5177,486,dehydration
5177,858,dehydration
5177,1091,dehydration
5177,1174,dehydration
5178,168,dehydration
5178,561,starvation
5178,615,dehydration
5178,635,dehydration
5179,366,dehydration
5179,710,dehydration
5180,332,dehydration
5180,822,dehydration
5180,1144,dehydration
5180,1685,dehydration
5180,1736,dehydration
5180,3542,starvation
5181,352,dehydration
5183,14,dehydration
5183,3399,dehydration
5183,4105,dehydration
5184,677,dehydration
5184,686,dehydration
5184,867,dehydration
5184,971,dehydration
5184,1558,dehydration
5184,1768,dehydration
5184,3855,dehydration
5184,4245,dehydration
5185,242,dehydration
5185,415,dehydration
5185,435,dehydration
5185,1067,dehydration
5185,2158,dehydration
5186,84,dehydration
5186,236,dehydration
5186,285,dehydration
5186,708,dehydration
5187,259,dehydration
5187,594,dehydration
5187,4160,dehydration
5188,877,dehydration
5188,1839,dehydration
5188,3752,dehydration
5188,4166,starvation
5189,189,starvation
5189,202,dehydration
5189,208,dehydration
5189,416,dehydration
5189,563,dehydration
5189,690,dehydration
5189,714,dehydration
5189,795,dehydration
5189,816,dehydration
5189,1683,dehydration
5190,670,dehydration
5191,190,dehydration
5191,3710,dehydration
5192,256,dehydration
5192,3736,dehydration
5193,928,dehydration
5193,1079,starvation
5194,199,dehydration
5194,1134,dehydration
5194,1210,dehydration
5195,229,dehydration
5195,311,dehydration
5195,2143,dehydration
5196,138,dehydration
5196,176,starvation
5196,348,dehydration
5196,974,dehydration
5196,983,dehydration
5196,1161,dehydration
5197,167,dehydration
5197,1283,dehydration
5198,1068,dehydration
5198,1699,dehydration
5199,1312,dehydration
5199,2582,dehydration
5200,3106,dehydration
5204,784,dehydration
5204,1170,dehydration
5204,2693,dehydration
5205,614,dehydration
5205,2300,dehydration
5205,2644,dehydration
5206,2486,dehydration
5207,1158,dehydration
5208,174,dehydration
5208,205,dehydration
5208,820,dehydration
5208,889,starvation
5208,923,dehydration
5208,2105,starvation
5209,131,dehydration
5209,791,dehydration
5211,246,dehydration
5211,296,dehydration
5212,651,dehydration
5213,468,dehydration
5213,589,dehydration
5213,1242,dehydration
5213,3126,dehydration
5214,719,dehydration
5214,1607,dehydration
5215,376,dehydration
5215,2232,dehydration
5216,514,dehydration
5216,3349,dehydration
5216,3897,dehydration
5218,43,dehydration
5221,1666,dehydration
5221,3598,starvation
5223,853,dehydration
5224,389,dehydration
5224,449,dehydration
5224,1321,dehydration
5224,1596,dehydration
5225,632,dehydration
5225,3189,dehydration
5226,693,dehydration
5226,1135,dehydration
5228,96,dehydration
5228,315,dehydration
5228,751,dehydration
5228,799,dehydration
5228,869,dehydration
5228,963,dehydration
5229,51,dehydration
5229,768,dehydration
5230,1122,dehydration
5231,178,dehydration
5231,473,dehydration
5231,774,dehydration
5231,2533,dehydration
5232,2944,dehydration
5232,4116,dehydration
5233,648,dehydration
5233,2192,dehydration
5234,358,starvation
5234,1463,dehydration
5234,1714,dehydration
5234,2452,dehydration
5234,4027,starvation
5235,4114,starvation
5236,77,dehydration
5236,855,starvation
5236,1509,dehydration
5236,2792,dehydration
5237,32,dehydration
5237,872,dehydration
5237,1466,dehydration
5238,54,starvation
5238,1656,dehydration
5238,1761,dehydration
5239,1687,dehydration
5240,85,dehydration
5240,182,dehydration
5240,1140,dehydration
5240,2515,dehydration
5241,78,dehydration
5241,1254,dehydration
5241,2358,dehydration
5242,668,dehydration
5242,779,starvation
5242,952,dehydration
5242,2717,dehydration
5243,149,dehydration
